Instructor,RMP_Rating,RMP_Review1,RMP_Review2,RMP_Review3
N. Gautam,5.0,"His lectures are very detailed and he explains each concept thoroughly. If you show up to his lectures, you will 100% pass. He is very nice and funny as well. There is no homework grade, however, you will be graded on quizzes that are weekly and 4 exams. He prints out notes as well, which makes it easier to follow along.",,
H. Martel,3.0,"Very passive aggressive and mean spirited. Makes inappropriate comments during her stories. Doesn't teach, only tells stories. Makes us teach the class. Confusing instructions, gets an attitude when asked for clarity.","Very passive aggressive. Makes inappropriate comments towards students. Confusing directions, has an attitude when you ask for clarity. Tells stories instead of teaching. All of our classmates agree that she's not","Professor Wagner is responsive and interacts with her students well. Textbook material is easy to understand and relatable. As long as you complete all assignments, you will do well in the class."
"H. Martel
H. Martel",3.0,"Very passive aggressive and mean spirited. Makes inappropriate comments during her stories. Doesn't teach, only tells stories. Makes us teach the class. Confusing instructions, gets an attitude when asked for clarity.","Very passive aggressive. Makes inappropriate comments towards students. Confusing directions, has an attitude when you ask for clarity. Tells stories instead of teaching. All of our classmates agree that she's not","Professor Wagner is responsive and interacts with her students well. Textbook material is easy to understand and relatable. As long as you complete all assignments, you will do well in the class."
G. Katz,4.7,"Great professor, really knows his stuff. Grade is entirely 4 exams and 4 assignments. Be prepared to recreate the HW on the exam and you will be fine. Lowest exam is dropped. He's a very fair professor with expectations and grading, but be warned that this class is very math heavy.","Overall a very understanding and helpful professor. He understands that what he's teaching is hard to grasp at first, and teaches remembering this.",CIS375 is a very difficult class so be prepared to put in the time to study. Professor Katz is a great lecturer though who clearly understands what he is talking about and presents it in an easy to understand fashion.
S. Soundarajan,4.0,Lectures are sometimes hard to follow and to get good at material you have to do lots of practice problems. 3 exams total with weekly quizzes in recitation. TA was more helpful than Prof. Soundarajan. Very strict about no cheating on exams. We had to put all electronics into a ziploc back and lock the bag and put the bag on our desk in front of us,"Professor Soundarajan is knowledgeable , but the teaching approach is disorganized. Lectures lack structure, slides are unclear, and exams are overly long, leaving students rushed. I had to rely on YouTube to understand the material. Better-organized lectures, clearer slides, and manageable exams would greatly improve the course experience.",She grades extremely harshly and is inconsistent with offering feedback on why points were lost. She is also concerned with cheating to the point it gets in the way of learning. She IS knowledgeable about the subject but often looks down upon students who ask questions. Avoid this professor if possible.
"J. Chidella
J. Chidella",5.0,"He is a wonderful professor! I am happy to have had him as my professor for the Algorithms course. He truly cares about all of his students and offers additional support to help us succeed in the course. He goes above and beyond for his students. He has a very kind and friendly personality. Take his class, you will not regret it!",,
V. Phoha,2.8,"This professor zones out while he is teaching. Sometimes in such situations we come back home and try reading the notes. But this professor will give you his handwritten scribbled notes. So when u come back home you will have to decrypt his scribbled notes and then try to find some logic behind every question solved. Run away, u wont learn a word.","I took for Biometrics, the course was a lot of work but the final project accounts for the majority of the grade. 2 Exams both were long and difficult but he is fair and understanding. I would take another course he taught if it met with my interests.","Took CIS400/600 Cryptography with Phoba. The classes were somewhat boring, but pretty easy to get an A as long as you show up and don't go on your computer or phone as he's extremely strict on it and will point you out in class if you do."
M. Mihovilovic Skanata,2.3,In this class right now and genuinely have no idea what she's talking about like every single class period. I'm sure she doesn't know what she's talking about either. It's not worth it. Take physics at another college because a common theme amongst physics professors I've had in Syracuse is that they never know what they are doing ever.,"Worst professor I've had. For reference, I am a 4.0, pre-medical student. She appears nervous, has trouble controlling the class, speaks too softly, and assigns homework on topics never discussed in enough depth. I resorted to wasting my time by teaching myself through the textbook. People have given feedback, but I have yet to see improvement.","She actually listens to the students concerns & will always makes time to meet even after office hours. Grades super fairly, the exams are identical to the practice problems in class, quizzes, and tests. She gives extra credit. She has weekly quizzes, two tests, & one final. Also, there are homeworks due every week. I would recommend this class."
A. Goonawardhana,2.8,Fantastic professor.,"well, he's a great teacher teaching a boring subject. the first half was ok once you get the key to solve such kind of problems, but i couldn't help sleeping in the last 1/3 of the lectures. in addition he repeats important points while giving new material, you don't know when to ""have a rest""",his lectures make Ben Stein seem outgoing. Do not take this class unless it's a requirement or you absolutely love logic.
J. Jones,4.8,"Easygoing, friendly and class content is easy to understand. Has papers due throughout semester papers where research is needed. Homework is usually short response question or prompt given at the end of class.",Such an interesting class. This was a requirement for the HFS major and it was super fun to take with her. Going to take another class with her next semester!,"Prof. Jones is the best!! Most interesting class I have taken yet at Syracuse. She is super nice, understanding, and makes lectures enjoyable. Highly recommend as a fun elective."
W. Freeman,2.8,"Very good professor. I love when he reads my Discord DMs to the whole class. He's charming, easygoing, and always helpful—willing to meet one-on-one outside of class. Ignore the haters; they're just not motivated to learn physics. He makes my life better, and I'll always cherish his class. Truly an inspiration for generations to come.","Very good professor, I love when he reads my discord dm's to the whole class. He's very charming and very easy to talk to. Ignore all the haters, they're just dumb. He's very helpful and is always willing to meet with you one on one.","Worst Professor I've ever had and it's unfortunately not even close. Tests are different than stated and all the preparatory material given not helpful half the time. The grading scale is the only reason that many people manage to get decent grades, as the exam averages are usually horrendous."
J. Tulu,4.6,"JJ is a great teacher. There is homework every lecture, but he is very helpful in his office hours and responds to emails/texts if you ever get stuck. His lectures are clear and to the point, and he provides old tests from previous semesters as study material for tests.","J.J. is an outstanding instructor. He has prepared handouts for every lecture that are easy to follow and great study tools. Homework is due every lecture, and it usually takes 1-2 hours to complete. There are 4 exams, but use the practice exams he provides to study, and there is no reason to get below a B in this class.","Super good at explaining concepts, incredible at what he does, is always able to answer a quick question and grades fairly"
G. Gehlot,2.6,"Worst professor ever, not sure how she's allowed to teach. 90% of her lectures are her political ideas and gives us 5 mins at the end of the class to do our assignments. Constantly rude and always annoyed with her students, asked for help multiple times on assignments before and she said “idk figure it out”. Horrible with technology not to mention.","Horrible Professor, DON'T TAKE HER CLASS!! 4 exams that she doesn't even cover and if she does she expects you to already know the material when clearly you don't and its the reason why your taking her class. When you go to her office hours she seems annoyed, not very helpful.","She was a very helpful teacher in my opinion. She always made time for students to come bug her at her office for help. When she didn't know an answer off the top of her head she would look it up with the student. She wants students to succeed, but also expects that you will read the book to learn concepts. I highly recommend her."
S. Pokhrel,4.3,"She listens to your questions. she does everything she can to ensure that you understand what is being taught and takes the time to help you if you don't. Her assignments are tough but she will help and answer any questions she deems appropriate. If you pay attention, ask questions, do the work and actually try it'll be an easy A.",Professor Seale taught me a great deal over the course of my class. I believe I will be a better paralegal in the future thanks to her!,
J. Yousefian,4.6,"JJ is a great teacher. There is homework every lecture, but he is very helpful in his office hours and responds to emails/texts if you ever get stuck. His lectures are clear and to the point, and he provides old tests from previous semesters as study material for tests.","J.J. is an outstanding instructor. He has prepared handouts for every lecture that are easy to follow and great study tools. Homework is due every lecture, and it usually takes 1-2 hours to complete. There are 4 exams, but use the practice exams he provides to study, and there is no reason to get below a B in this class.","Super good at explaining concepts, incredible at what he does, is always able to answer a quick question and grades fairly"
J. Hansen,4.3,Cutting edge course with exciting exercises that cover a ton of ground and can get anyone on their feet and playing around with social media tools. There are very few classes like this and I have to say it is one of the best.,"Prof. Hansen planned an excellent online course, however, the limitations of the current online classroom caused a few problems for me. While the individual projects rock and are flexible, trying to meet online with people around the country made group work hard. In addition, you need to self motivate to finish assignments on time. Overall awesome.","Eric Hansen is very dedicated to the class he teaches. If you pay attention and work hard the class is very easy. There are times when I felt I was in over my head, but all the assignments can be completed if you put forth the effort."
D. Van Allen,2.0,"Obviously loves his subject, willing to help if you ask for it.",Van Vliet has trouble expressing what he is trying to teach to the students. Attempt at all cost to pick another teacher.,Should never teach again.
N. Pashine,4.8,"It has been nearly 7 years since taking Proof Delillo's ASTRONOMY class and I am still fascinated on just how much I learned and retained. Every Celestial event, meteor shower, or just a clear night I look up and smile remembering how fun and engaging his class was. Thank you for being an awesome and caring professor Mr Delillo!","I took oceanography and I am bad at science. He made it easy, understandable, he follows a routine that makes it doable and able to follow. He keeps us engaged, he's funny and probably my favorite teacher of the semester. He's great, ps I took this class over zoom.","Good science class. Quizzes are weekly and not easy, but he tells you how to study for them. No outside homework besides studying for quizzes and tests, but still take a few hours before quiz and test day to review everything. Very knowledgeable."
T. Skwarnicki,2.8,"Lab review, so I can't comment on his teaching ability personally. Assignments straightforward and reasonably lined up with both the time available, as well as the topics covered simultaneously in lecture. Most people I talked to agreed they had a good TA, so his judgement in picking the people to run the labs is good. Do the prelab, easy points!",Got annoyed when students asked questions or were confused.,I and other students felt he pushed the job of teaching the class onto the TAs and lectures were really really bad. I get as I got almost nothing out of his lectures and recitation is where you could get anything out of. Tests are much more difficult than given homework and he makes the final exam really hard.
A. Zaratsyan,2.8,Fantastic professor.,"well, he's a great teacher teaching a boring subject. the first half was ok once you get the key to solve such kind of problems, but i couldn't help sleeping in the last 1/3 of the lectures. in addition he repeats important points while giving new material, you don't know when to ""have a rest""",his lectures make Ben Stein seem outgoing. Do not take this class unless it's a requirement or you absolutely love logic.
A. Samlodia,2.8,Fantastic professor.,"well, he's a great teacher teaching a boring subject. the first half was ok once you get the key to solve such kind of problems, but i couldn't help sleeping in the last 1/3 of the lectures. in addition he repeats important points while giving new material, you don't know when to ""have a rest""",his lectures make Ben Stein seem outgoing. Do not take this class unless it's a requirement or you absolutely love logic.
V. Jadhav Yashavant,2.6,"She probably the best bio 141 and bio 142 professor it is hard to understand her but I'm sorry her class is easy I took it online and her only assignment is pearson, writing project assignment and exams so yeah ignore all these other comments she great","She was fine at first. Once she accused me of a certain thing, I asked her questions because I want to know the full story on why she accused me. It is normal to ask questions when you are curious but she said she did not want to be questioned by me anymore and stopped answering my emails. Saw other students say the same thing. Avoid her.","Dr. J is a nice person and was pretty lenient with my tardiness. However, she is not very technologically skilled which affects the exams, homework, and lectures to the point where there was a lot of misunderstandings that affected my grades heavily. Her accent is also hard to understand at times but I wouldn't count that against her."
S. Ballmer,2.0,"Dr. Ballmer is an awesome guy, very cool and chill. Problem is, his teaching skills are not the best. Exams are SHORT so if you get 3 wrong you're already in the B's and the final exam is split into TWO 15 Question examinations... Meaning if you get 3 wrong on either you are already floating at a B- here. Posts all slides online with no answers.","This class is difficult, despite it being a 101 level. Ballmer will cover concepts quickly and fail to go over problems in class. Questions discussed in class will be put on powerpoints without an answer or explanation on how to do them. Following the textbook is difficult because he skips around and picks and chooses concepts to present. AVOID IT!","Honestly? Terrible professor. I have never missed a single class, took notes the entire time, always listened and worked on the course outside of lecture and I am still doing poorly. He is an awful teacher who does not know how to explain things at a 101 level at all. ABSOLUTELY DO NOT TAKE THIS CLASS WITH HIM UNLESS YOU ABSOLUTELY HAVE TO."
L. Roy,2.2,"Definitely the hardest prof for COM 117. We went at roughly 3x the speed of any other 117 class. Roy was not understanding or accommodating at all. I had to miss classes due to a head injury and he did not give me an extension on one project and docked major points from another for it being late. As other reviews said, it's his way or the highway.","He was extremely strict with deadlines, and was a very hard grader. He moved way too fast, and he did not give us any of our grades back until the last week of the semester so we had no idea how we were doing in the class. Try to avoid if you can, because he is by far the hardest COM 117 professor.","By far the hardest prof for COM 117. We went at about 3 times the speed of any other 117 class (though we were basically done by thanksgiving break). Not understanding, not accommodating, its his way or the highway. Only positive is that I got good experience with Premiere, but was so strained that it wasn't enjoyable at all. Switch if you can."
D. Whittington,2.0,"A really boring professor overall. Class lecture material and the questions for homework are completely different, and almost always requires research online to get the right answer. He's okay, just not good.",,
J. Paulsen,4.0,You are graded based on 5 labs and then a final presentation. It is all done using python so there is a learning curve to the assignments. A lot of self-interpretation of the labs is allowed and he gives you a lot of room to experiment on your own.,"His grading scale is very lenient, and uses clicker questions to give you extra credit, up to half a letter grade, which is amazing. His lectures are very helpful and the demos in class are cool. He's very accessible for office hours and is willing to help. The tests are extremely fair, and he outlines what he expects you to know. Would recommend.",
J. Hubisz,3.1,"I have never encountered a professor so rude to students; I do not feel treated as a knower, but treated as a cog in a machine.",The exams are difficult and very different from the practice exams. The homework is long. He tries to explain but it just gets more confusing.,"He's a good professor. He made materials easy to understand, however, his lectures were a little bit boring. He had good demonstrations. The grading scale was extremely curved. Not hard to get an A in this class."
G. Mansell,2.3,Large lecture. Very boring. She seems like a very sweet person though. You get a cheat sheet. If you write down as much as you can from homeworks and lectures you'll do well.,"Georgia was an okay professor. She was definitely nervous in the first half of the semester but she got better. The homework isn't bad but is due at 11 pm rather than 11:59 which is annoying. The tests are okay, we got cheat sheets. The curve also made it so that you could not do the best on the tests and still do ok in the class.","I can't believe she's a professor, teaching is clearly not her thing. Her lectures are a mess, just constant rambling that doesn't help at all. Homework doesn't match the practice exams, which don't match the real exams. Really wanted to do well in this course but struggled so much because of how poorly everything was taught and organized."
M. Soderberg,3.1,"Lectures were exciting and taken straight from the textbook (which was posted on BB as a PDF), but he made them more fun. Got material across in an easy-to-understand manner. Posted solutions to HW and exams afterwards and was easily available to meet with students. You can tell how passionate he is about physics which made his class even better.","Doesnt provide enough information and concepts during the lecture, lecture slides are super messy","Overall I think Prof Soderberg is one of the few professors that know how to teach in the department. It's lucky that I took 212 in spring because he only teaches one semester a year. In terms of the course, it's easy if you pay attention to lectures and go to recitation. The tests are friendly if you study hard. Clicker questions are extra credits"
R. Silva Coutinho,4.0,"he and eric coughlin switched off every time we had a quizzam, i prefer eric because he is easier to understand but rafael was also good!! he studied physics at CERN so hes very knowledgeable about physics; you will learn a lot",,
S. Blusk,2.9,"Professor Blusk is a nice guy who makes himself available outside of class. The lectures can be boring but are essential to doing well. His midterms are not too bad but the final is extremely difficult. Luckily, he curves generously so if you get Bs or high Cs on the exams and terrible on the final (like everyone else), you should get atleast an A-","He gave out the final exam which was extremely hard. Even though your mid-term exams grades were much higher than class average, you'll still get a bad grade if you did not do final well (there was a very small, harsh, and ridiculous curve). His exam average was 50-60s, and he expected you to get 93 to receive an A. EXCUSE ME?",Great.
E. Coughlin,4.5,"good professor, he knew what he was talking about and really taught us well. the only thing ""bad"" about him is that he paces back and forth at the front of the classroom and its very distracting and made me lose focus but other than that a good professor!",Eric is a great guy and a great professor. He works hard to deliver comprehensive slides and put together virtual 3D visualizations and in-class demonstrations to convey the abstract concepts of Physics 2. He's always working to make the student experience better. Get a good TA to cement the process of working through Physics 2 problems.,"Dr. Coughlin is a very compassionate & understanding professor. (Largely due to the material), his lectures can run a little dry at times, but he is constantly looking for ways to better deliver material and help students to succeed. Recitation is totally dependent on your TA, but Dr. Coughlin made multiple changes mid-semester on student feedback."
M. Rudolph,2.1,"He knows his stuff, but he's awful at explaining things. He somehow makes easy concepts hard, and hard concepts stay hard. Don't expect anything beyond his criticisms of whatever book he wants you to read, which somehow focuses on the wrong thing. He's the type of professor that makes you hate math and physics because he's so bad at teaching.",He isn't a great professor but makes the exams easy because he doesn't explain things well. I learned everything from the TAs in recitations.,"His lectures are very monotone and he does not spend a lot of time explaining difficult topics and concepts that should take longer. He seems to want to get through the slides more than take time to make sure students understand the material. He wasn't a bad communicator outside of lecture, but he was very hard to get a hold of"
J. Laiho,4.3,PHY 101 had to take for my major. Im not good at physics but overall i liked the professor. you take two exams and can retake for a better grade both times which was AMAZING. but the final exam didnt have that option. The labs were confusing but helped my grade go up and the HW are weekly and graded on completion and some accuracy.,"Laiho is hands down one of the best professors since I transferred. His lectures are amazing and engaging. Giving credit for completeness and effort is a majority of how things are graded, but the tests are more heavily based. 4 exams In total but only accepts the 2 highest (1 from each unit) which shows his character in caring!","Very patient with students in a class that is not necessarily enjoyable for a non-major. Testing policies really save your grade, and Laiho loves physics and cares that you learn it."
L. Movileanu,3.0,"Mr. Gaddy is a pretty good professor. He takes a while to grade your work but overall he grades fairly and gives great feedback for essays, etc. Hes a nice and understanding professor as well.","I took Mr. Gaddy in what was obviously his first semester teaching. He was not particularly bad or good. The basic structure of the course was to do a reading each night, then come back to class the next day and discuss it. Occasionally there would be a pop quiz but all other grades come from the three essays that you have to write in class.",
P. Souder,3.8,"Dr. Dhillon was a phenomenal chemistry teacher. Lectures are informative and you don't even have to touch the book. Tests were fair and straightforward (directly from the PowerPoint notes)! Chemistry was not easy, but this woman made it a breeze and really wanted her students to succeed. Her HW solutions were great. Take her you won't regret it!","Dr. Dhillon is very motivational inspires students to accomplish their academic goals, her test are easy if you read the book and do homework, her lectures are a bit confusing but this was due to the nature of covering four chapters per week in a winter course so reading the book was essential to understanding the concepts, highly recommended.","Honestly, she is a really cool person. She graduated from Berkeley and received her PHD from Harvard. She knows what she is talking about, but she is still new to teaching. I highly suggest you to take her. She is a great teacher, but confusing. You should go over her power point and do homework problems and you will receive an A."
M. Artuso,1.7,I had her for my CAS101 - First Year Forum (Women In Science) and she was a gem!,"One of the worst professors I have ever had anywhere. Does not speak english very well and is incapable of explaining subject material. Tests do not reflect material ""taught"" in lecture.",let's face it. who in their right minds likes physics? most are not fond of professor artuso. i didn't think physics 1 was too bad. Professor artuso had a cool accent and always had some fun experiments to demonstrate. grading was fair with a strong curve.
M. Manning,3.2,"Like other students said, I would only recommend taking this class if you are a physics major. The course is interesting and teaches you to problem solve rather than just apply concepts. However, I do think that the professor struggles to give elementary level explanations and that the classes is fast paced, but the professor is nice.","She is very helpful during office hours and makes herself available outside of class. You will have to put in work for the class since it is an honors/major level course. For 215 the tests aren't curved. Would only really recommend taking the 215 is you are a physics major, or you really like physics otherwise it's just easier to take 211.",Awesome professor!!!! If you can get her you're gold. Just make sure you go to office hours as often as possible!! You'll definitely need it if you plan on getting good grades. Also physics clinic for homework help. The third exam will kill you but she curves so you'll eventually be ok!
G. Watson,3.8,I had him for PHY312 not PHY216 nut it wouldn't let me choose anything else. Great teacher and really fun. Inspired me to switch majors so I could. study with him more. Really relaxed and just wants us to learn something.,"This professor is really a nice guy, his class is well-organized and he provides online zoom link during coronavirus period. Besides, the homework and exams are online so that it is more convenient instead of handing in the homework to the office on weekends. Also, the lowest grades of lab would be dropped.","He is a nice guy, but a terrible professor. He fails to explain the slides adequately and what we do in labs doesnt line up with what we learn in class. Like I said, hes nice and very lenient because of COVID but hes a terrible teacher"
"H. McElwee
H. McElwee
H. McElwee
H. McElwee",3.8,Don't even think about it and sign up for her class. Literally the nicest professor and really cares about her students. I was in her class of 50 and just under 10 came to class every day. I felt like I was really able to gain a relationship with her and decided to take another class with her next semester.,"Soc101 is a really easy class not really on her, all my friends that took this got an A. She's kinda boring and the assignments can be lengthy but if you pay attention every once in a while you'll be fine.",If you asked for help she would say there are directions online and if you needed guidance with writing assignments and projects she is not helpful at all. She did not grade assignments due in September until the last day of the semester in December. Also never actually teaches she just assigns reading and explains them the next day- very boring
"A. LaClair
A. LaClair
A. LaClair
A. LaClair",4.7,"Easily the most caring professor I've ever had. She is so open to helping students and makes the coursework super fun and engaging. Even though attendance was mandatory and class was 4 times a week, I still looked forward to showing up every day!","Literally hasn't put in final grades almost a month after the course ended. She is a fine professor, but the course has homework literally every single night and exams are a pain in the ass.","I lover her, she is the best. Really nice and respectful. I took 101 and 102 with her, it was a unforgettable exprience. To succeed, you need to work hard."
"K. Shaw
K. Shaw
K. Shaw
K. Shaw",4.7,"Shaw is the best. Funny, caring, and kind. The class is very manageable as long as you go to lecture and stay organized. 2 HW assignments a week and you get 33% extra credit if you do them early. 2 tests and a final that basically are duplicates of the study guides - do those and you'll ace the exams. Recitations had weekly quizzes but were fine.",Best math teacher I've ever had. Goes into extreme detail for everything. HW for every lecture but do it early and you get crazy extra credit. Two easy midterms; just know how to work the study guides. Weekly recitation was useless (mandatory attendance) and TA's were mid. Recitation quizzes were ok. Stay on top of the work and you'll get an A.,"Professor Shaw is amazing. I was scared to take a math class because I have always been bad at math, but I did very well. Don't skip the lectures because you will fall behind and be confused. Review sheets are always the same as the tests. Do the homework early!! Go to office hours or talk to the TA if you are confused."
"A. Shanes
A. Shanes
A. Shanes
A. Shanes",2.8,Fantastic professor.,"well, he's a great teacher teaching a boring subject. the first half was ok once you get the key to solve such kind of problems, but i couldn't help sleeping in the last 1/3 of the lectures. in addition he repeats important points while giving new material, you don't know when to ""have a rest""",his lectures make Ben Stein seem outgoing. Do not take this class unless it's a requirement or you absolutely love logic.
"N. Henry
N. Henry
N. Henry
N. Henry",5.0,"Henry is a great prof, but sometimes hard to follow his lectures. Super helpful and really great at explaining things, but lots of hw.",,
"T. Manion
T. Manion",3.1,Worst professor I have ever taken and this is not dramatic. Participation counts as 30% of your overall grade. Goes around the class one by one as you answer questions from the exercises in the book every class but somehow some people will receive 12/12 and some will get failing participation grades. If you want a fair teacher do not take him.,"He's not a bad professor overall, but he made the class a bit confusing. He wouldn't answer questions clearly and he went over the material a bit too quick sometimes. There is a midterm and a final and you usually work in groups during class.","Great Professor. Overall easy class. He makes it very easy to understand. Weekly online quizzes, if you read the chapter you will have an easy A. No homework, just a midterm and final both open book."
"K. Gillette
K. Gillette",4.3,"Collins is an absolutely incredible professor. I had him for two semesters in a row, and I am incredibly sad that I cannot take any more classes with him. Collins deeply cares about his material, and he wants you to care about it as well. He is a tough grader, but he always provides good feedback to improve for the next paper.","I'm a 4.0 high school student. Lost all interest in school. After 5 semesters of going through the motions, Collins gave me a reason to be excited for school. Nothing he teaches is easy to understand, nor is it compelling material. However, his knowledge and willingness to be personable is a strength. He will leave you WANTING to read more.",He best professor
"H. Berl
H. Berl",3.0,"Very passive aggressive and mean spirited. Makes inappropriate comments during her stories. Doesn't teach, only tells stories. Makes us teach the class. Confusing instructions, gets an attitude when asked for clarity.","Very passive aggressive. Makes inappropriate comments towards students. Confusing directions, has an attitude when you ask for clarity. Tells stories instead of teaching. All of our classmates agree that she's not","Professor Wagner is responsive and interacts with her students well. Textbook material is easy to understand and relatable. As long as you complete all assignments, you will do well in the class."
E. Rand,3.7,"Dr. Stetson course was lecture heavy- Your grade is soley based on weekly course assignments that have easy grading criteria. If you fail this course, you didn't try. He is a grade professor to start off graduate school with.",Stetson says uncomfortable things about minorities and thinks that because he is married to a Cuban woman means he can't be racist. Has said a lot of bigoted things in class. I was supposed to take an INC and he didn't fill out the form even though I asked him for months. He has RMP open as a tab when class is going. Avoid.,"The async material is done by someone else (who is not good). Professor Stetson, however, is a great professor and is very helpful and responsive with feedback. If taking this course, beware there is much to read, some unrelated and extremely bias, assignments do not have dates, and the syllabus is not helpful."
K. Jones,4.8,"Easygoing, friendly and class content is easy to understand. Has papers due throughout semester papers where research is needed. Homework is usually short response question or prompt given at the end of class.",Such an interesting class. This was a requirement for the HFS major and it was super fun to take with her. Going to take another class with her next semester!,"Prof. Jones is the best!! Most interesting class I have taken yet at Syracuse. She is super nice, understanding, and makes lectures enjoyable. Highly recommend as a fun elective."
A. Gratch,2.8,Fantastic professor.,"well, he's a great teacher teaching a boring subject. the first half was ok once you get the key to solve such kind of problems, but i couldn't help sleeping in the last 1/3 of the lectures. in addition he repeats important points while giving new material, you don't know when to ""have a rest""",his lectures make Ben Stein seem outgoing. Do not take this class unless it's a requirement or you absolutely love logic.
C. Onwukwe,3.1,"she is caring. if you want to get A, you can have it",she's an easy grader and helps you if you ask. She knows her students and will learn your name really fast so get ready to be pointed out to read or answer a question. When i took her she didn't miss a class or cancel. she would send email and writes back to you if you write to her.,Do good on your essays. Make sure to keep up with the readings as well since she always gives quizzes daily.
D. Ferreira Leite,1.1,Professor is just very unprofessional and rude. Syllabus aren't updated and finished. Lessons are jumbled. And assignments are just word requirements.,"She's a terrible professor. Even if you decide to stick to the rubric given to you for an assignment, she will still deduct points because it's not up to her liking. Seriously, do not take her class; it's not worth it!","Honestly, don't take her class. I took this class over the summer and she was very unprofessional. She cancelled all her office hours within the first week, never got back to me on an assignment that she graded unjustly, doesn't give clear instructions, and is even LATE to giving instructions. Just overall rude and unprofessional. Don't recommend."
M. Hanrahan,5.0,"He's really good at explaining each lesson with clear, concrete examples. There weren't any lecture slides—everything was pretty much from the zyBook. Attendance isn't a big deal to him, so he won't nag you about showing up. I'd definitely recommend taking him.",,
A. Rodriguez,2.8,Fantastic professor.,"well, he's a great teacher teaching a boring subject. the first half was ok once you get the key to solve such kind of problems, but i couldn't help sleeping in the last 1/3 of the lectures. in addition he repeats important points while giving new material, you don't know when to ""have a rest""",his lectures make Ben Stein seem outgoing. Do not take this class unless it's a requirement or you absolutely love logic.
S. Sierra,4.3,"She listens to your questions. she does everything she can to ensure that you understand what is being taught and takes the time to help you if you don't. Her assignments are tough but she will help and answer any questions she deems appropriate. If you pay attention, ask questions, do the work and actually try it'll be an easy A.",Professor Seale taught me a great deal over the course of my class. I believe I will be a better paralegal in the future thanks to her!,
A. Tapia Cera,2.8,Fantastic professor.,"well, he's a great teacher teaching a boring subject. the first half was ok once you get the key to solve such kind of problems, but i couldn't help sleeping in the last 1/3 of the lectures. in addition he repeats important points while giving new material, you don't know when to ""have a rest""",his lectures make Ben Stein seem outgoing. Do not take this class unless it's a requirement or you absolutely love logic.
F. Asifat,3.0,Personally it's hard to understand her and she's very big on lectures. If you miss any lectures you might as well drop the class. Seriously I'm considering it. She's very strict on rules and if you miss a lot of class even if your sick she doesn't really care and doesn't care about your school schedule. Good luck if you take her,"Extremely condescending, doesn't regrade anything, hard to understand. Oddly strict about trivial things, like phones and computers.","Honestly... don't take her if you are looking for a hands on, caring teacher. SHE IS NOT THE ONE!!"
A. Jakowenko,2.8,Fantastic professor.,"well, he's a great teacher teaching a boring subject. the first half was ok once you get the key to solve such kind of problems, but i couldn't help sleeping in the last 1/3 of the lectures. in addition he repeats important points while giving new material, you don't know when to ""have a rest""",his lectures make Ben Stein seem outgoing. Do not take this class unless it's a requirement or you absolutely love logic.
R. Hall,1.8,extremely difficult grader. very sassy in class. entitled and unforgiving.,"She's another prime reason of why the Biology Department at Syracuse is horrible. I don't think I've ever had a single decent biology professor yet, Syracuse please do something",I took her course in the spring and it wasn't nearly as bad as a lot of the reviews indicate. Every exam is slightly curved (usually 3-4 questions dropped) and extra credit is offered. The final is cumulative but not as in-depth as the previous exams. Recommend going to her office hours to review your exam since a lot of the topics are on the final
J. Dunagan,4.6,"JJ is a great teacher. There is homework every lecture, but he is very helpful in his office hours and responds to emails/texts if you ever get stuck. His lectures are clear and to the point, and he provides old tests from previous semesters as study material for tests.","J.J. is an outstanding instructor. He has prepared handouts for every lecture that are easy to follow and great study tools. Homework is due every lecture, and it usually takes 1-2 hours to complete. There are 4 exams, but use the practice exams he provides to study, and there is no reason to get below a B in this class.","Super good at explaining concepts, incredible at what he does, is always able to answer a quick question and grades fairly"
C. Madsen,2.3,"The first thing you will notice about him is the thick accent. He can be very hard to understand, but realistically it doesn't matter because the course is so easy. In MAT 121 all the tests are open book and the lab sections are very simple. Unless you completely blow off the class it is impossible to get below a B.","MAT 121 is a very easy course regardless of the professor, because all of the tests are open-book. Dag does have a very thick accent which makes him difficult to understand sometimes, but you will eventually get used to that. The subject is very basic and homework as optional. If you are looking for an easy A take this course!",He does have a very heavy accent but you can get used to it. Once you get used to his accent you can see that he is a very good teacher and its hard not to get an A. He is one of the few teachers that gives practice exams and goes over it. Its also open textbook and notes. The class is boring but everyone can get an A
J. Bullinger,4.6,"JJ is a great teacher. There is homework every lecture, but he is very helpful in his office hours and responds to emails/texts if you ever get stuck. His lectures are clear and to the point, and he provides old tests from previous semesters as study material for tests.","J.J. is an outstanding instructor. He has prepared handouts for every lecture that are easy to follow and great study tools. Homework is due every lecture, and it usually takes 1-2 hours to complete. There are 4 exams, but use the practice exams he provides to study, and there is no reason to get below a B in this class.","Super good at explaining concepts, incredible at what he does, is always able to answer a quick question and grades fairly"
